;taisaadress;x;y
255;Tartu maakond, Tartu linn, Kroonuaia tn 38;58.384105955309;26.716150135265
256;;;
257;;;
258;;;
259;;;
260;;;
261;;;
262;;;
263;;;
264;;;
265;Tartu maakond, Tartu linn, Rebase tn 18a;58.368565888252;26.745290948438
266;Tartu maakond, Tartu linn, Pikk tn 56;58.380740872931;26.737805860281
267;;;
268;Tartu maakond, Tartu linn, Ranna pst 36;58.340649001674;26.777123738668
269;Tartu maakond, Tartu linn, Kitsas tn 5;58.377595059334;26.72314054009
270;Tartu maakond, Tartu linn, Kabeli tn 11;58.360144284769;26.718098640429
271;;;
272;;;
273;;;
274;;;
275;;;
276;;;
277;;;
278;;;
279;;;
280;Tartu maakond, Tartu linn, Kalevi tn 47;58.373172757738;26.730769213049
281;Tartu maakond, Tartu linn, Rebase tn 18a;58.368565888252;26.745290948438
282;;;
283;;;
284;;;
285;Tartu maakond, Tartu linn, Tiigi tn 61;58.3743241047;26.711752441167
286;Tartu maakond, Kallaste linn, Turu tn 18;58.657248764311;27.16121753839
287;;;
288;Tartu maakond, Tartu linn, K. E. von Baeri tn 4a;58.381962937927;26.714667477208
289;Tartu maakond, Tartu linn, Rebase tn 18a;58.368565888252;26.745290948438
290;Tartu maakond, Tartu linn, F. R. Kreutzwaldi tn 1;58.387951574074;26.696666226304
291;;;
292;Tartu maakond, Kallaste linn, Turu tn 20;58.656786561847;27.16064102024
293;;;
294;;;
295;;;
296;;;
297;;;
298;;;
299;;;
300;;;
301;;;
302;;;
303;;;
304;;;
305;;;
306;;;
307;;;
308;Tartu maakond, Tartu linn, Herne tn 45;58.387204600378;26.711991677279
309;;;
310;;;
311;;;
312;;;
313;;;
314;;;
315;Tartu maakond, Tartu linn, Pikk tn 56;58.380740872931;26.737805860281
316;Tartu maakond, Tartu linn, Filosoofi tn 9;58.370140333845;26.719605431006
317;Tartu maakond, Tartu linn, Aardla tn 23a;58.3555452747;26.719282500194
318;;;
319;;;
320;;;
321;;;
322;;;
323;;;
324;;;
325;;;
326;Tartu maakond, Tartu linn, Kalevi tn 25;58.373973648277;26.729035317326
327;;;
328;;;
329;;;
330;;;
331;;;
332;;;
333;;;
334;;;
335;;;
336;;;
337;Tartu maakond, Elva linn, Pargi tn 11;58.221644151951;26.418074879194
338;Tartu maakond, Tartu linn, Tiigi tn 61;58.3743241047;26.711752441167
339;Tartu maakond, Tartu linn, Tulika tn 1;58.36925787026;26.694704933102
340;;;
341;;;
342;;;
343;;;
344;;;
345;;;
346;;;
347;Tartu maakond, Kallaste linn, Turu tn 2;58.658287972065;27.162087787341
348;;;
349;Tartu maakond, Tartu linn, Tiigi tn 78;58.373770899778;26.711145401289
350;Tartu maakond, Tartu linn, Rebase tn 18a;58.368565888252;26.745290948438
351;Tartu maakond, Tartu linn, Tuule tn 2;58.39131940249;26.732673213932
352;;;
353;;;
354;;;
355;;;
356;;;
357;;;
358;;;
359;;;
360;;;
361;;;
362;;;
363;;;
